"account_id","account_name","region","industry","tier","mrr_usd","health_score","health_tier","nps_score","open_tickets","last_contact_days","renewal_date"
"ACC0001","Customer 1 Corp","AMER","manufacturing","silver","22836","0.55","critical","-69","11","11","2026-09-17"
"ACC0002","Customer 2 Corp","LATAM","manufacturing","gold","19172","0.9","healthy","12","7","60","2026-11-03"
"ACC0003","Customer 3 Corp","APAC","tech","silver","30161","0.76","healthy","-31","11","69","2026-04-12"
"ACC0004","Customer 4 Corp","APAC","healthcare","gold","15923","0.6","healthy","19","5","79","2026-07-16"
"ACC0005","Customer 5 Corp","LATAM","education","gold","33653","0.82","at_risk","23","1","61","2026-11-29"
"ACC0006","Customer 6 Corp","AMER","manufacturing","bronze","1704","0.76","critical","84","13","58","2026-03-06"
"ACC0007","Customer 7 Corp","EMEA","healthcare","gold","8675","0.31","healthy","18","8","74","2026-08-09"
"ACC0008","Customer 8 Corp","LATAM","education","silver","38125","0.43","healthy","79","6","84","2026-07-26"
"ACC0009","Customer 9 Corp","APAC","manufacturing","gold","37275","0.57","healthy","-90","13","20","2026-05-04"
"ACC0010","Customer 10 Corp","EMEA","finance","gold","47875","0.74","at_risk","-75","2","33","2026-12-11"
"ACC0011","Customer 11 Corp","LATAM","healthcare","platinum","10890","0.08","critical","62","2","29","2026-10-10"
"ACC0012","Customer 12 Corp","APAC","manufacturing","bronze","3237","0.46","at_risk","-34","9","37","2026-03-05"
"ACC0013","Customer 13 Corp","AMER","retail","bronze","8898","0.3","at_risk","-74","1","74","2026-12-13"
"ACC0014","Customer 14 Corp","EMEA","tech","gold","41481","0.17","critical","-4","1","11","2026-08-31"
"ACC0015","Customer 15 Corp","AMER","manufacturing","bronze","32760","0.12","healthy","-37","4","36","2026-08-11"
"ACC0016","Customer 16 Corp","EMEA","tech","silver","44837","0.8","critical","95","1","66","2026-11-25"
"ACC0017","Customer 17 Corp","APAC","manufacturing","gold","37763","0.89","at_risk","-89","7","46","2026-08-27"
"ACC0018","Customer 18 Corp","LATAM","healthcare","gold","41816","0.18","critical","56","3","57","2026-06-08"
"ACC0019","Customer 19 Corp","APAC","finance","bronze","23194","0.47","healthy","22","14","82","2026-02-26"
"ACC0020","Customer 20 Corp","APAC","healthcare","platinum","37477","0.01","at_risk","0","10","74","2026-03-23"
"ACC0021","Customer 21 Corp","EMEA","manufacturing","bronze","47663","0.51","healthy","-26","8","40","2026-03-02"
"ACC0022","Customer 22 Corp","LATAM","retail","bronze","36466","0.85","at_risk","6","10","38","2026-10-23"
"ACC0023","Customer 23 Corp","EMEA","education","platinum","32465","0.14","critical","91","9","38","2026-04-17"
"ACC0024","Customer 24 Corp","APAC","healthcare","silver","6772","0.23","at_risk","-63","3","47","2026-06-08"
"ACC0025","Customer 25 Corp","LATAM","finance","gold","16937","0.06","healthy","-21","14","2","2026-02-12"
"ACC0026","Customer 26 Corp","LATAM","finance","bronze","25882","0.12","healthy","2","4","85","2026-12-31"
"ACC0027","Customer 27 Corp","EMEA","retail","silver","22737","0.26","critical","42","4","80","2026-05-01"
"ACC0028","Customer 28 Corp","APAC","education","silver","12401","0.42","critical","-56","14","22","2026-03-31"
"ACC0029","Customer 29 Corp","LATAM","education","bronze","39198","0.13","at_risk","-29","5","27","2026-05-26"
"ACC0030","Customer 30 Corp","EMEA","manufacturing","gold","14173","0.21","at_risk","-19","11","79","2026-03-14"
"ACC0031","Customer 31 Corp","APAC","retail","gold","27159","0.22","healthy","-88","14","45","2026-09-17"
"ACC0032","Customer 32 Corp","APAC","healthcare","platinum","35919","0.36","at_risk","-27","1","53","2026-04-03"
"ACC0033","Customer 33 Corp","APAC","finance","silver","28428","0.7","at_risk","58","9","29","2026-11-02"
"ACC0034","Customer 34 Corp","AMER","healthcare","silver","47368","0.64","critical","-9","2","23","2027-01-10"
"ACC0035","Customer 35 Corp","EMEA","finance","bronze","35388","0.3","healthy","82","6","5","2026-10-21"
"ACC0036","Customer 36 Corp","EMEA","tech","platinum","40989","0.59","healthy","-94","8","55","2026-11-18"
"ACC0037","Customer 37 Corp","APAC","healthcare","gold","40062","0.54","critical","74","2","34","2026-11-25"
"ACC0038","Customer 38 Corp","EMEA","manufacturing","silver","24735","0.88","critical","-37","4","22","2026-10-29"
"ACC0039","Customer 39 Corp","EMEA","education","bronze","18004","0.32","healthy","83","3","41","2026-06-26"
"ACC0040","Customer 40 Corp","EMEA","retail","platinum","39194","0.16","critical","-54","3","32","2026-04-27"
"ACC0041","Customer 41 Corp","APAC","finance","platinum","49985","0.25","healthy","-7","11","38","2026-04-12"
"ACC0042","Customer 42 Corp","LATAM","manufacturing","gold","44260","0.85","at_risk","4","3","35","2026-02-28"
"ACC0043","Customer 43 Corp","APAC","education","gold","46066","0.77","critical","13","4","79","2026-04-03"
"ACC0044","Customer 44 Corp","APAC","tech","platinum","30441","0.26","at_risk","-36","9","24","2026-08-29"
"ACC0045","Customer 45 Corp","LATAM","manufacturing","platinum","46669","0.28","at_risk","-81","11","70","2026-07-03"
"ACC0046","Customer 46 Corp","EMEA","tech","silver","46136","0.8","critical","-35","11","74","2026-04-12"
"ACC0047","Customer 47 Corp","EMEA","manufacturing","silver","9338","0.17","healthy","-53","13","2","2026-09-27"
"ACC0048","Customer 48 Corp","AMER","tech","bronze","19537","0.29","critical","-31","5","48","2026-10-24"
"ACC0049","Customer 49 Corp","EMEA","finance","platinum","30679","0.23","at_risk","36","2","89","2026-09-24"
"ACC0050","Customer 50 Corp","EMEA","manufacturing","platinum","5151","0.91","healthy","92","1","36","2026-05-22"
"ACC0051","Customer 51 Corp","APAC","education","gold","32207","0.86","at_risk","-42","1","37","2026-08-05"
"ACC0052","Customer 52 Corp","AMER","healthcare","platinum","34388","0.44","at_risk","-97","0","11","2026-08-28"
"ACC0053","Customer 53 Corp","LATAM","education","gold","34046","0.31","at_risk","38","3","82","2026-05-27"
"ACC0054","Customer 54 Corp","LATAM","tech","gold","48854","0.2","critical","-64","4","20","2026-12-17"
"ACC0055","Customer 55 Corp","APAC","education","gold","24060","0.39","healthy","90","11","21","2026-08-29"
"ACC0056","Customer 56 Corp","AMER","healthcare","silver","10399","0.16","critical","-48","0","81","2026-11-17"
"ACC0057","Customer 57 Corp","APAC","tech","bronze","47208","0.05","at_risk","-34","5","50","2026-02-12"
"ACC0058","Customer 58 Corp","AMER","finance","gold","1581","0.39","at_risk","-66","8","37","2026-08-20"
"ACC0059","Customer 59 Corp","LATAM","finance","bronze","34994","0.7","critical","76","2","39","2026-09-30"
"ACC0060","Customer 60 Corp","AMER","tech","bronze","16376","0.17","healthy","-14","8","54","2026-07-13"
"ACC0061","Customer 61 Corp","LATAM","manufacturing","silver","7446","0.08","healthy","-62","2","17","2026-10-16"
"ACC0062","Customer 62 Corp","APAC","tech","silver","20344","0.97","critical","31","6","66","2026-03-30"
"ACC0063","Customer 63 Corp","APAC","manufacturing","bronze","24698","0.81","healthy","52","7","3","2026-10-25"
"ACC0064","Customer 64 Corp","AMER","tech","gold","41431","0.79","at_risk","-74","1","37","2026-03-26"
"ACC0065","Customer 65 Corp","LATAM","healthcare","bronze","27705","0.58","healthy","86","7","6","2026-12-13"
"ACC0066","Customer 66 Corp","EMEA","finance","bronze","9133","0.66","critical","-83","7","76","2026-03-25"
"ACC0067","Customer 67 Corp","EMEA","retail","silver","11264","0.98","at_risk","42","11","39","2026-03-13"
"ACC0068","Customer 68 Corp","AMER","finance","bronze","28397","0.55","critical","-52","2","50","2026-07-27"
"ACC0069","Customer 69 Corp","LATAM","education","gold","12951","0.84","critical","-13","14","56","2026-12-01"
"ACC0070","Customer 70 Corp","APAC","tech","silver","3899","0.18","at_risk","-45","10","65","2026-08-09"
"ACC0071","Customer 71 Corp","APAC","tech","gold","15345","0.33","healthy","58","12","7","2026-08-01"
"ACC0072","Customer 72 Corp","EMEA","manufacturing","silver","30524","0.39","critical","-69","8","81","2026-05-08"
"ACC0073","Customer 73 Corp","LATAM","tech","platinum","11463","0.26","healthy","-55","0","33","2026-12-28"
"ACC0074","Customer 74 Corp","APAC","tech","gold","38207","0.58","critical","-91","3","67","2026-12-02"
"ACC0075","Customer 75 Corp","APAC","education","gold","4204","0.79","critical","75","11","21","2026-11-15"
"ACC0076","Customer 76 Corp","EMEA","finance","silver","16362","0.67","healthy","-84","5","43","2026-12-05"
"ACC0077","Customer 77 Corp","AMER","manufacturing","platinum","2519","0.33","at_risk","99","0","23","2026-07-15"
"ACC0078","Customer 78 Corp","LATAM","manufacturing","bronze","23978","0.38","at_risk","-23","2","69","2026-05-13"
"ACC0079","Customer 79 Corp","APAC","manufacturing","bronze","40793","0.79","critical","3","11","59","2026-11-16"
"ACC0080","Customer 80 Corp","LATAM","education","silver","1106","0.16","at_risk","-5","12","32","2026-09-16"
"ACC0081","Customer 81 Corp","EMEA","manufacturing","silver","7636","0.76","healthy","37","4","16","2026-09-22"
"ACC0082","Customer 82 Corp","LATAM","education","platinum","1466","0.61","at_risk","-67","1","85","2026-02-24"
"ACC0083","Customer 83 Corp","AMER","manufacturing","silver","42999","0.34","critical","-62","0","57","2026-03-27"
"ACC0084","Customer 84 Corp","LATAM","tech","platinum","45773","0.94","at_risk","-20","3","55","2027-01-09"
"ACC0085","Customer 85 Corp","EMEA","finance","silver","29929","0.87","at_risk","-53","2","84","2026-08-20"
"ACC0086","Customer 86 Corp","LATAM","retail","platinum","8796","0.48","at_risk","48","3","47","2026-09-22"
"ACC0087","Customer 87 Corp","AMER","tech","platinum","40276","0.16","at_risk","93","3","41","2026-03-13"
"ACC0088","Customer 88 Corp","APAC","finance","silver","4293","0.07","healthy","-43","4","39","2026-02-24"
"ACC0089","Customer 89 Corp","EMEA","manufacturing","bronze","5614","0.25","critical","-46","6","2","2026-10-12"
"ACC0090","Customer 90 Corp","LATAM","tech","silver","34437","0.47","critical","-30","5","83","2026-06-07"
"ACC0091","Customer 91 Corp","APAC","manufacturing","silver","33007","0.63","critical","-76","9","85","2026-02-22"
"ACC0092","Customer 92 Corp","APAC","tech","platinum","46116","0.82","at_risk","-40","7","6","2026-10-30"
"ACC0093","Customer 93 Corp","LATAM","tech","bronze","32098","0.94","healthy","6","2","75","2026-10-28"
"ACC0094","Customer 94 Corp","LATAM","education","platinum","33827","0.7","at_risk","-81","6","86","2026-09-21"
"ACC0095","Customer 95 Corp","AMER","tech","gold","27158","0.59","healthy","75","13","17","2026-10-01"
"ACC0096","Customer 96 Corp","EMEA","finance","silver","897","0.3","at_risk","66","6","10","2026-04-26"
"ACC0097","Customer 97 Corp","EMEA","retail","gold","14012","0.94","critical","-59","11","63","2026-11-21"
"ACC0098","Customer 98 Corp","AMER","finance","bronze","3671","0.82","at_risk","-20","7","32","2026-04-04"
"ACC0099","Customer 99 Corp","AMER","finance","platinum","34483","0.72","critical","-26","13","20","2026-03-06"
"ACC0100","Customer 100 Corp","APAC","retail","platinum","38179","0.87","at_risk","-65","12","41","2026-10-04"
